"";"Champs";"Regie";"Soil_type";"Variete";"mean_temp";"total_precip";"frozen";"Rendement";"Pureté";"N_Fert";"P_Fert";"K_Fert";"Mg_Fert";"S_Fert";"Ca_Fert";"Zn_Fert";"Cu_Fert";"B_Fert";"Mn_Fert";"PhEau";"Age";"Ca_Sol (ppm)";"P_Sol (ppm)";"Al_Sol (ppm)";"K_Sol (ppm)";"Mg_Sol (ppm)";"Zn_Sol (ppm)";"Cu_Sol (ppm)";"Mn_Sol (ppm)";"B_Sol (ppm)";"Fe_Sol (ppm)";"N_Fol (%)";"P_Fol (%)";"K_Fol (%)";"Ca_Fol (%)";"Mg_Fol (%)";"B_Fol (%)";"Cu_Fol (%)";"Fe_Fol (%)";"Mn_Fol (%)";"Zn_Fol (%)";"Al_Fol (%)"
"21";"06";"Organic";"Organic";"Ben Lear";13,893956043956;390,1;49;10728;0,676;16,8;12,25;92,75;9,85;220,8;22,05;0;0;0;0;5,1;21,6;259;105;256;52;42;1,3;2,14;2;0,4;389,5;1,1;0,13;0,48;0,89;0,22;0,00195;0,00073;0,01466;0,0361;0,00178;0,0058
"22";"07";"Organic";"Organic";"Stevens";13,893956043956;390,1;49;12261;0,8766;28,8;21;107,5;3;213,3;37,8;0;0;0;0;4,56;22,2;338,2;94,8;302,8;44,4;42,2;1,76;1,344;1,92;0,34;401,902;1,3;0,13;0,57;0,99;0,26;0,00246;0,00083;0,03323;0,0638;0,00259;0,008
"23";"08";"Organic";"Organic";"Stevens";13,893956043956;390,1;49;12261;0,933;28,8;21;107,5;3;213,3;37,8;0;0;0;0;4,3;18,8;365;91;287;41;41;1,6;1,35;1,9;0,4;468,63;1,2;0,13;0,53;1,02;0,24;0,00305;0,00088;0,03569;0,06824;0,00289;0,0087
"24";"09";"Organic";"Organic";"Stevens";13,893956043956;390,1;49;12261;0,966;24;17,5;117,5;2,5;217,8;31,5;0;0;0;0;4,56;17,2;348,2;96,4;313,2;45,4;44,8;1,74;1,44;1,98;0,36;426,522;1,2;0,13;0,5;0,9;0,23;0,002;0,00076;0,03456;0,05557;0,00263;0,0079
"25";"10";"Organic";"Organic";"Stevens";13,893956043956;390,1;49;8153;0,9136;24;17,5;96,5;10,6;220,8;31,5;0;0;0;0;4,5;17,2;276;91;307;43;40;1,4;1,51;1,9;0,4;394,74;1,1;0,13;0,62;0,9;0,23;0,00244;0,00113;0,0297;0,05188;0,00194;0,0081
"26";"11";"Organic";"Organic";"Stevens";13,893956043956;390,1;49;10728;0,615;24;17,5;96,5;10,6;220,8;31,5;0;0;0;0;4,5;15,8;353,8;57;251,4;50,4;48,2;1,46;1,292;1,96;0,34;367,766;1,1;0,12;0,49;0,92;0,21;0,00195;0,00089;0,02292;0,04627;0,00211;0,0075
"27";"12";"Organic";"Organic";"Stevens";13,893956043956;390,1;49;8153;0,919;21,6;15,75;116,25;2,25;217,8;28,35;0;0;0;0;4,6;18;485;48;209;40;46;2,4;1,6;1,9;0,3;400,77;1,3;0,13;0,5;1,03;0,23;0,00201;0,00076;0,02081;0,05381;0,00252;0,0068
"28";"13";"Organic";"Organic";"Stevens";13,893956043956;390,1;49;6130;0,797;14,4;10,5;100;1,5;213,3;18,9;0;0;0;0;4,64;14,8;303,2;91,8;403,2;40,8;38,8;1,58;1,412;1,92;0,32;348,062;1,2;0,13;0,64;1,13;0,29;0,00226;0,00113;0,02958;0,0394;0,00217;0,0088
"29";"14";"Organic";"Organic";"Stevens";13,893956043956;390,1;49;7663;0,837;9,6;7;97,5;1;213,3;12,6;0;0;0;0;4,8;19,2;225;61;697;33;23;1;1,13;1,9;0,3;166,82;1,2;0,12;0,53;1,12;0,24;0,00201;0,00105;0,02107;0,03733;0,00269;0,0074
"30";"15";"Organic";"Organic";"Stevens";13,893956043956;390,1;49;6130;0,8792;9,6;7;97,5;1;213,3;12,6;0;0;0;0;4,54;18,8;320,6;46,4;324,8;52;44;1;1,038;2,24;0,34;245,772;1,2;0,13;0,55;1,09;0,26;0,00191;0,00089;0,02175;0,02802;0,00292;0,0078
"31";"16";"Organic";"Organic";"Stevens";13,893956043956;390,1;49;6130;0,96;16,8;12,25;101,25;1,75;33,3;22,05;0;0;0;0;4,5;20;398;42;232;60;54;0,9;1,13;3,6;0,4;228,43;1,2;0,13;0,47;1,278;0,28;0,00176;0,00089;0,01346;0,02436;0,0031;0,006
"32";"17";"Organic";"Organic";"Stevens";13,893956043956;390,1;49;8153;0,972;16,8;12,25;101,25;1,75;33,3;22,05;0;0;0;0;4,5;21;376,4;44,4;227,4;53;50,8;1,32;1,186;2,24;0,34;296,668;1,2;0,12;0,47;1,19;0,27;0,00179;0,00078;0,01495;0,02332;0,0031;0,0075
"33";"18";"Organic";"Organic";"Stevens";13,893956043956;390,1;49;6130;0,8696;19,2;14;88,5;7,4;215,3;25,2;0;0;0;0;4,4;18,8;296;56;291;48;48;1;1,33;1,9;0,3;328,48;1,2;0,12;0,5;1,03;0,24;0,00167;6e-04;0,01292;0,02664;0,00223;0,0059
"34";"19";"Organic";"Organic";"Stevens";13,893956043956;390,1;49;10728;0,9376;16,8;12,25;101,25;1,75;213,3;22,05;0;0;0;0;4,56;18,8;347;49,6;325,6;47,8;43,6;1,32;1,192;2,24;0,32;284,074;1,2;0,12;0,49;1,12;0,25;0,00152;0,00062;0,01215;0,02903;0,00258;0,0064
"35";"20";"Organic";"Organic";"Stevens";13,893956043956;390,1;49;6130;0,929;19,2;14;94;10,1;220,8;25,2;0;0;0;0;4,5;18,8;381;49;251;63;60;1,2;1,25;2,2;0,4;418,97;1,2;0,13;0,52;1,05;0,24;0,00211;6e-04;0,01451;0,04379;0,00228;0,0074
"36";"21";"Organic";"Organic";"Stevens";13,893956043956;390,1;49;7663;1;19,2;14;88,5;7,4;215,3;25,2;0;0;0;0;4,5;19,4;369,2;45,2;231;54;49,8;1,34;1,156;1,96;0,34;330,67;1,2;0,12;0,51;1,05;0,25;0,00138;0,00075;0,01326;0,03864;0,00245;0,0063
"37";"22";"Organic";"Organic";"Stevens";13,893956043956;390,1;49;10728;0,8696;16,8;12,25;101,25;1,75;213,3;22,05;0;0;0;0;4,5;19,4;331;41;199;58;47;1,3;0,77;1,9;0,3;295,87;1,3;0,12;0,47;1,11;0,24;0,00133;0,00051;0,00887;0,03674;0,00274;0,0057
"38";"23";"Organic";"Organic";"Stevens";13,893956043956;390,1;49;7663;0,903;19,2;14;115;2;217,8;25,2;0;0;0;0;4,56;18,8;343,6;51;329,4;48,4;44,8;1,38;1,216;1,96;0,32;322,182;1,2;0,11;0,49;1,03;0,23;0,00182;0,00061;0,0109;0,04388;0,00233;0,0061
"39";"24";"Organic";"Organic";"Stevens";13,893956043956;390,1;49;6130;0,978;9,6;7;83,5;6,4;35,3;12,6;0;0;0;0;4,5;20;372;35;206;59;59;1;1,1;1,9;0,4;229,79;1,3;0,11;0,46;1,16;0,24;0,00186;0,00042;0,0093;0,05528;0,00246;0,0063
"40";"25";"Organic";"Organic";"Stevens";13,893956043956;390,1;49;4598;0,83;9,6;7;83,5;6,4;215,3;12,6;0;0;0;0;4,54;18,8;317,2;47,8;328,6;52,6;45,2;1,06;1,062;1,96;0,34;283,88;1,2;0,11;0,42;1,07;0,24;0,00554;0,00065;0,00954;0,041;0,00236;0,0054
"41";"26";"Organic";"Organic";"Stevens";13,893956043956;390,1;49;4598;0,8696;9,6;7;83,5;6,4;215,3;12,6;0;0;0;0;4,5;18,8;353;32;205;61;48;0,8;0,83;1,9;0,4;209,26;1,3;0,11;0,42;1,15;0,25;0,00482;0,00056;0,00847;0,04684;0,00269;0,0063
"42";"27";"Organic";"Organic";"Stevens";13,893956043956;390,1;49;5333;0,8414;9,6;7;97,5;1;213,3;12,6;0;0;0;0;4,54;18,8;333,4;38,6;294,2;52,6;44,4;1,02;0,984;1,9;0,38;217,78;1,3;0,11;0,42;1,25;0,27;0,00417;0,00051;0,00503;0,04678;0,00307;0,0056
"43";"28";"Organic";"Organic";"Stevens";13,893956043956;390,1;49;6130;0,562;9,6;7;83,5;6,4;35,3;12,6;0;0;0;0;4,4;20;386;24;164;52;45;1;1,09;1,9;0,5;187,16;1,3;0,11;0,46;1,08;0,24;0,00492;0,00053;0,008;0,04251;0,00252;0,0057
"44";"29";"Organic";"Organic";"Ben Lear";13,893956043956;390,1;49;6130;0,16;14,4;10,5;97;12,3;226,3;18,9;0;0;0;0;4,68;20,6;319,4;63;236,6;54,2;47,6;1,14;1,386;1,94;0,44;303,146;1,2;0,12;0,45;1,02;0,2;0,00493;0,00058;0,00602;0,0459;0,00172;0,0054
"45";"30";"Organic";"Organic";"Ben Lear";13,893956043956;390,1;49;5333;0,6506;16,8;12,25;98,25;12,55;226,3;22,05;0;0;0;0;4,4;20,2;368;29;166;65;55;0,8;0,84;1,9;0,6;222,29;1,2;0,11;0,47;1,01;0,2;0,00474;0,00058;0,00807;0,04579;0,00172;0,0054
"46";"02";"Organic";"Sand";"Stevens";16,1934065934066;445,4;24;16693,1451612903;0,78;35,76;26,075;73,625;3,725;199,8;46,935;0;0;0;0;5,2;11;100;101;815;35;15;0,4;1,34;2;0,6;140,04;1,2;0,17;0,69;1,1;0,26;0,00403;0,00042;0,00546;0,11234;0,00251;0,0081
"47";"04";"Organic";"Sand";"Stevens";16,1934065934066;445,4;24;16375,2419354839;0,73;50,16;36,575;92,125;10,625;210,8;65,835;0;0;0;0;5,2;11;100;129;938;33;15;0,4;1,37;2;0,7;136,28;1,3;0,17;0,66;1,19;0,27;0,00407;0,00046;0,00568;0,14281;0,00259;0,0091
"48";"06";"Organic";"Sand";"Stevens";16,1934065934066;445,4;24;23335,5;0,95;50,16;36,575;92,125;10,625;210,8;65,835;0;0;0;0;5;9;100;112;1040;34;15;0,4;1,9;2;0,5;130,76;1,2;0,15;0,77;1,07;0,25;0,00383;0,00041;0,00524;0,10031;0,00206;0,0063
"49";"CR01";"Conventional";"Sand";"Stevens";15,0112994350282;235,5;56;28827;0,8556203346;22,1;22,1;51,1;0;38,32;0;0;0;0;0;4,6;23;117,6;244;1323,8;79,6;18,6;0,72;3,264;2,5;0,5;254,726;1,12;0,13;0,52;0,79;0,16;0,00275;0,000307;0,005296;0,043816;0,00085;0,00714105486
"50";"CR03";"Conventional";"Sand";"Stevens";15,0112994350282;235,5;56;27932;0,8556203346;22,1;22,1;51,1;0;38,32;0;0;0;0;0;4,6;23;117,6;244;1323,8;79,6;18,6;0,72;3,264;2,5;0,5;254,726;1;0,1;0,47;0,91;0,15;0,0017;3e-04;0,005296;0,043816;0,00077;0,00714105486
"51";"CR05";"Conventional";"Sand";"Stevens";15,0112994350282;235,5;56;24667;0,888953668;22,1;22,1;51,1;0;38,32;0;0;0;0;0;4,52;23;115,4;253,4;1377,2;79,2;19;0,74;3,31;2,5;0,46;256,348;1,28;0,12;0,55;0,92;0,16;0,00241;0,000364;0,0056;0,043258;0,00147;0,00640105486
"52";"CR07";"Conventional";"Sand";"Stevens";15,0112994350282;235,5;56;21883;0,8556203346;22,1;22,1;51,1;0;38,32;0;0;0;0;0;4,6;23;117,6;244;1323,8;79,6;18,6;0,72;3,264;2,5;0,5;254,726;1,1;0,12;0,52;0,89;0,15;0,00257;0,000372;0,005296;0,043816;0,00197;0,00664105486
"53";"CR09";"Conventional";"Sand";"Stevens";15,0112994350282;235,5;56;29522;0,888953668;22,1;22,1;51,1;0;38,32;0;0;0;0;0;4,52;23;115,4;253,4;1377,2;79,2;19;0,74;3,31;2,5;0,46;256,348;1,2;0,13;0,47;0,82;0,16;0,00182;0,000365;0,005562;0,04048;0,0016;0,00714105486
"54";"CR11";"Conventional";"Sand";"Stevens";15,0112994350282;235,5;56;25312;0,9068108108;22,1;22,1;51,1;0;38,32;0;0;0;0;0;4,54;23;117,6;246,8;1396,4;81;19;0,74;3,356;2,5;0,48;265,818;0,89;0,1;0,45;0,91;0,17;0,00203;0,000366;0,005708;0,04069;0,00234;0,00664105486
"55";"CR13";"Conventional";"Sand";"Stevens";15,0112994350282;235,5;56;21624;0,8556203346;22,1;22,1;51,1;0;38,32;0;0;0;0;0;4,6;23;117,6;244;1323,8;79,6;18,6;0,72;3,264;2,5;0,5;254,726;1,08;0,12;0,52;0,81;0,16;0,00261;0,000357;0,005296;0,043816;0,00191;0,00566725486
"56";"CR15";"Conventional";"Sand";"Stevens";15,0112994350282;235,5;56;18530;0,888953668;22,1;22,1;51,1;0;38,32;0;0;0;0;0;4,6;23;117,6;244;1323,8;79,6;18,6;0,72;3,264;2,5;0,5;254,726;1,16;0,12;0,52;0,75;0,18;0,00238;0,000368;0,005562;0,04048;0,00205;0,00640105486
"57";"CR17";"Conventional";"Sand";"Stevens";15,0112994350282;235,5;56;13142;0,888953668;22,1;22,1;51,1;0;38,32;0;0;0;0;0;4,52;23;115,4;253,4;1377,2;79,2;19;0,74;3,31;2,5;0,46;256,348;1,26;0,14;0,63;0,73;0,18;0,00252;0,000408;0,0056;0,043258;0,00191;0,00611566832
"58";"CR19";"Conventional";"Sand";"Stevens";15,0112994350282;235,5;56;17918;0,888953668;22,1;22,1;51,1;0;38,32;0;0;0;0;0;4,52;23;115,4;253,4;1377,2;79,2;19;0,74;3,31;2,5;0,46;256,348;1,24;0,14;0,66;0,58;0,15;0,00224;0,00035;0,0056;0,043258;0,00146;0,00640105486
"59";"CR21";"Conventional";"Sand";"Stevens";15,0112994350282;235,5;56;11625;0,888953668;22,1;22,1;51,1;0;38,32;0;0;0;0;0;4,6;23;117,6;244;1323,8;79,6;18,6;0,72;3,264;2,5;0,5;254,726;1,2;0,14;0,59;0,77;0,18;0,00278;0,000361;0,005562;0,04048;0,00195;0,00611566832
"60";"A1";"Organic";"Organic";"Stevens";15,1836956521739;527,5;55;15970,0041;1;42,95872;28,97216;132,87232;8,5632;23,46802048;45,36;0;1,4272;0,7136;0;4,7;12;17,43167653;88,133646718;1327,5975508;10,0719664478;4,6176987548;0,0608085468;1,678222383;0,5074283602;2,2992466446;223,05408546;1,2;0,14;0,31;0,39;1,68;0,004;0;0,016;0,031;0,005;0,0071
"61";"A2";"Organic";"Sand";"Stevens";15,1836956521739;527,5;55;17923,87611;1;70,93184;47,95392;119,8848;10,704;25,0676976;74,73942;0;1,784;0,7136;0;4,7;12,2;22,055617032;37,540069634;1059,9522962;10,875250546;5,709132383;0,2884963538;0,962121819;0,6362840712;0,3869180994;135,03741892;1,4;0,13;0,25;0,48;1,27;0,004;0;0,018;0,026;0,003;0,0081776119
"62";"A3";"Organic";"Sand";"Stevens";15,1836956521739;527,5;55;12285,30483;0,98;57,94432;38,96256;136,86848;8,5632;22,15499648;69,88716;0;1,4272;0,7136;0;4,8;12;20,875702882;86,69878716;1380,5708724;12,3184439236;5,5162353084;0,0627986514;1,8279364864;0,620502226;0,3669180994;218,59821166;1,3;0,14;0,3;0,41;1,66;0,004;0,001;0,018;0,038;0,005;0,00692
"63";"3";"Organic";"Sand";"Stevens";15,1836956521739;527,5;55;17682,98778;0,99;68,93376;46,95488;129,8752;9,7519;28,76651936;72,44244;0;1,0704;0,5352;0;5;13;34,633108188;100,68894997;1421,9630282;19,9524247614;6,4418427072;0,1793329956;1,3493795944;0,7777822166;0,461407625;209,48464298;1,4;0,12;0,52;1,48;0,3;0,006;0;0,006;0,039;0,004;0,00772
"64";"5";"Organic";"Sand";"Stevens";15,1836956521739;527,5;55;18218,29518;1;68,93376;46,95488;129,8752;8,5632;26,09406848;72,23202;0;1,4272;0,7136;0;5;12;20,12939993;84,69561319;1345,8723176;12,1174077058;5,3215296684;0,0560042262;1,5672781734;0,5974532726;0,481407625;214,655843;1,4;0,13;0,47;1,66;0,31;0,005;0;0,006;0,032;0,004;0,00742
"65";"7";"Organic";"Sand";"Stevens";15,1836956521739;527,5;55;16540,99866;0,63;68,93376;46,95488;129,8752;6,4651;124,43594912;69,0795;0;0,3568;0,1784;0;5,1;16,2;116,1;216,11;1042,038;55,576;17,814;1,22;2,6606210218;1,662;0,401407625;158,448;1,4;0,14;0,6;1,34;0,3;0,005;0;0,007;0,04;0,003;0,0094
"66";"10";"Organic";"Sand";"Stevens";15,1836956521739;527,5;55;39113,12736;1;79,9232;53,94816;113,89056;10,704;27,6937456;55,17288;0,3596544;1,784;0,892;0;4,7;10;22,58;37,63;570,4;10,358;7,65;0,528;1,6004626208;0,776;0,276882789;98,59;1,6;0,1;0,53;1,48;0,26;0,003;0;0,016;0,048;0,005;0,00758769412
"67";"11";"Organic";"Sand";"Stevens";15,1836956521739;527,5;55;20921,59755;0,98;68,93376;46,95488;107,89632;11,8246;165,93794912;52,24716;0;1,1616;0;0;4,5;12,6;412,260557834;123,809266858;1263,435304;50,54826825;30,307172082;0,5495595928;2,874434847;1,2814686354;0,361407625;223,32053052;1,6;0,12;0,5;1,37;0,27;0,003;0;0,011;0,032;0,004;0,0078
"68";"12";"Organic";"Sand";"Stevens";15,1836956521739;527,5;55;21983,29056;0,97;49,952;33,96736;97,90592;11,4344;119,52172224;49,4928;0;1,5184;0,1784;0;4,8;12,6;453,809560968;97,519691778;1216,1725038;44,6217103808;27,300449917;0,5896931624;1,8786734952;1,22407099;0,401407625;230,8673687;1,5;0,12;0,63;1,36;0,24;0,003;0;0,013;0,043;0,005;0,00666
"69";"2";"Organic";"Sand";"Stevens";15,1836956521739;527,5;55;37810,54602;1;54,9472;41,95968;101,90208;10,704;27,6937456;70,91028;0;1,784;0,892;0;4,9;13;21,592;38,014;1143,924;12,406;5,76;0,322;1,2750688208;0,644;0,417028178;120,078;1,5;0,13;0,62;0,89;0,24;0,006;0,001;0,031;0,063;0,002;0,01254511592
"70";"4";"Organic";"Sand";"Stevens";15,1836956521739;527,5;55;28630,02411;1;54,9472;41,95968;101,90208;7,6816;55,17749824;70,44156;0;0,7136;0,3568;0;5,1;14;170,242;122,566;1117,62;36,246;18,24;0,578;1,901893742;1,512;0,5696924836;157,47;1,4;0,12;0,61;0,94;0,23;0,005;0,001;0,03;0,061;0,003;0,0100202309
"71";"5";"Organic";"Sand";"Stevens";15,1317647058824;349,1;33;3809,60433;0,75;0;0;21,97888;10,704;27,6937456;23,94;0;1,784;0,892;0;4,6;12,8;23,143929438;34,764015054;1070,65403758;15,42297115;6,1036105814;0,2914875944;0,7233610656;0,7240197722;0,304307548;102,508649864;1,1;0,11;0,51;1,14;0,2;0,003;0;0,005;0,014;0,002;0,01284839438
"72";"7";"Organic";"Organic";"Stevens";15,1317647058824;349,1;33;14283,78579;1;31,96928;22,97792;87,91552;10,704;26,3807216;35,24976;0;1,784;0,892;0;4,4;12,4;21,896;31,714;973,212;9,626;5,25;0,296;1,2484327786;0,622;2,2992466446;97,306;1,2;0,1;0,51;1,39;0,21;0,004;0;0,006;0,018;0,003;0,00910650442
"73";"10";"Organic";"Sand";"Stevens";15,1317647058824;349,1;33;4469,81679;1;34,9664;25,97504;88,91456;13,1332;72,71499648;34,6122;0;1,4272;0,7136;0;4,2;11;388,196;44,098;575,574;27,336;23,786;0,964;1,7840753398;1,308;0,179782712;111,7;1,1;0,12;0,48;1,4;0,23;0,004;0;0,007;0,049;0,005;0,00745194792
"74";"A1";"Organic";"Sand";"Stevens";15,1317647058824;349,1;33;21135,72051;1;78,92416;34,9664;79,9232;5,1019;86,3352;64,28394;0;0;0;0;5;15;187,4;214,4;1072;55;21,45;0,76;2,836;1,92;0,76;181,506;1,4;0,13;0,37;1,94;0,37;0,004;0;0,029;0,059;0,005;0,00842
"75";"A2";"Organic";"Sand";"Stevens";15,1317647058824;349,1;33;25266,50928;1;77,92512;34,9664;74,928;8,613;25,50824736;70,53732;0;1,0704;0,5352;0;4,8;14,4;54,844;134,9;1218,678;33,112;10,578;0,516;1,568053405;1,18;0,3730882302;162,7;1,3;0,12;0,33;1,86;0,33;0,003;0;0,022;0,046;0,004;0,01289927054
"76";"A3";"Organic";"Sand";"Stevens";15,1317647058824;349,1;33;21028,65903;0,98;72,92992;31,96928;73,92896;5,3;82,8;66,78;0;0;0;0;4,8;14,2;181,6;193,2;1089,2;50,6;19,8;0,62;3,102;1,82;0,76;193,142;1,3;0,13;0,36;1,78;0,32;0,004;0;0,032;0,058;0,004;0,00868
