Ferme;Regie;Latitude;Longitude;Municipalite;Champs;Annee_implantation;Annee_labo;Variete;Etat;Rendement_lbs_par_ac;Rendement_plus1_lbs_par_ac;;Foliaire_Azote_%;Foliaire_Phosphore_%;Foliaire_Potassium_%;Foliaire_Magnesium_%;Foliaire_Calcium_%;Foliaire_Bore_ppm;T-Soufre (?);Foliaire_Cuivre_ppm;Foliaire_Zinc_ppm;Foliaire_Manganese_ppm;Foliaire_Fer_ppm;Foliaire_Aluminium_ppm;Foliaire_Sodium_%;T-Molybdene (?);Sol_pH_eau;Sol_pH_tampon;Sol_Phosphore_kg_par_ha);Sol_Potassium_kg_par_ha;Sol_Magnesium_kg_par_ha;Sol_Calcium_kg_par_ha;Sol_Aluminium_ppm;Sol_Matiere_organique_%;Sol_Zinc_ppm;Sol_Cu_ppm;Sol_Bore_ppm;Sol_Manganese_ppm;Sol_Fer_ppm;Sol_Sodium_kg_par_ha;Dose_N_lbs_par_ac;Dose_P2O5_lbs_par_ac;Dose_K2O_lbs_par_ac;Dose_MgO_lbs_par_ac;Dose_SO3_lbs_par_ac;Dose_Ca_lbs_par_ac;Dose_Cl_lbs_par_ac;Dose_Zn_lbs_par_ac;Dose_Cu_lbs_par_ac;Dose_B_lbs_par_ac;Dose_Fe_lbs_par_ac;Dose_Mn_lbs_par_ac;Dose_Mo_lbs_par_ac
Nature Canneberge;Biologique;46,1702;72,0012;Saint-Louis de Blandford ;B06;2006;2020;Stevens;P;16186,59214;;;1;0,12;0,43;0,24;1,21;35,1;;3,4;23,2;544,6;265,7;87;0,01;;4,7;6;197;53;25;159;905;1;0,7;2,14;0,4;1,5;187,09;52;43,2;31,5;85;4,5;203,1;56,7;0;0,36;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1703;72,0014;Saint-Louis de Blandford ;B07;2006;2020;Stevens;P;9280,627837;;;1;0,12;0,43;0,22;1,29;36,9;;3,6;23,9;500,5;316,2;101;0,02;;;;;;;;;;;;;;;;52,8;38,5;90;5,5;203,1;69,3;0;0,44;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1641;72,0024;Saint-Louis de Blandford ;C01;2007;2020;Stevens;P;14549,32257;;;1,2;0,13;0,51;0,28;1,3;39,7;;3,9;31,8;940,8;296,1;81;0,0075;;;;;;;;;;;;;;;;52,8;38,5;90;5,5;203,1;69,3;0;0,44;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1643;72,0024;Saint-Louis de Blandford ;C02;2007;2020;Stevens;P;12909,81835;;;1,2;0,13;0,5;0,26;1,22;37;;4,2;27,8;735,5;424,4;85;0,01;;5;6,5;165;55;21;158;1017;0,9;0,5;2,34;0,5;1,5;183,71;64;48;35;87,5;5;203,1;63;0;0,4;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1644;72,0026;Saint-Louis de Blandford ;C03;2007;2020;Stevens;P;13812,56717;;;1,1;0,12;0,53;0,25;1,11;40,6;;4;23,4;736,9;348,8;83;0,0075;;;;;;;;;;;;;;;;48;35;87,5;5;203,1;63;0;0,4;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1641;72,0036;Saint-Louis de Blandford ;C04;2007;2020;Stevens;P;8777,83536;;;1,2;0,12;0,55;0,25;1,18;41,9;;3,9;26,5;734,5;445,6;88;0,01;;5;6,4;129;50;17;133;1138;0,9;0,6;1,77;0,6;1,5;177,27;70;48;35;87,5;5;203,1;63;0;0,4;1,25;0;0;0;0
Nature Canneberge;Biologique;46,165;72,0032;Saint-Louis de Blandford ;C05;2009;2020;Ben Lear;P;10069,00945;;;1;0,12;0,54;0,23;1,22;31,6;;3,4;21,1;782,6;289,8;81;0,01;;;;;;;;;;;;;;;;43,2;31,5;85;4,5;203,1;56,7;0;0,36;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1651;72,0034;Saint-Louis de Blandford ;C06;2009;2020;Ben Lear;P;8459,250618;;;1;0,12;0,52;0,23;1,24;36,6;;3,5;23,2;832,1;398,5;88;0,01;;5,1;6,2;129;58;20;181;1207;1,1;0,5;3,16;0,5;2,4;166,4;57;43,2;31,5;85;4,5;203,1;56,7;0;0,36;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1653;72,0036;Saint-Louis de Blandford ;C07;2009;2020;Stevens;P;7869,219491;;;1,1;0,13;0,51;0,25;1,23;37,7;;3,6;25,2;708,2;465,3;99;0,0075;;;;;;;;;;;;;;;;38,4;28;82,5;4;203,1;50,4;0;0,32;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1639;72,0114;Saint-Louis de Blandford ;D01;2008;2020;Stevens;P;17636,8;;;1,2;0,12;0,45;0,27;1,31;40;;3,6;28,6;941,6;193,3;136;0,0075;;;;;;;;;;;;;;;;48;35;87,5;5;203,1;63;0;0,4;1,25;0;0;0;0
Nature Canneberge;Biologique;46,164;72,0116;Saint-Louis de Blandford ;D02;2008;2020;Stevens;P;15956,11671;;;1,2;0,13;0,49;0,28;1,3;43,1;;4,3;31,6;1087;164,5;93;0,01;;5;6,5;166;45;16;110;841;0,6;0,4;2,92;0,5;1,5;151,36;67;48;35;87,5;5;203,1;63;0;0,4;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1642;72,0118;Saint-Louis de Blandford ;D03;2008;2020;Stevens;P;13528,46306;;;1,1;0,13;0,48;0,27;1,35;37;;4,1;34;893,5;162,9;89;0,01;;;;;;;;;;;;;;;;48;35;87,5;5;203,1;63;0;0,4;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1643;72,0119;Saint-Louis de Blandford ;D04;2008;2020;Stevens;P;14960,77873;;;1,2;0,13;0,46;0,26;1,31;34,8;;4;31,7;917,7;141,8;72;0,01;;4,7;6,8;127;41;20;101;464;0,5;0,4;2,57;0,3;1,5;143,61;42;48;35;87,5;5;203,1;63;0;0,4;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1645;72,0122;Saint-Louis de Blandford ;D05;2019;2020;Sundance;P;219,4432;;;1,2;0,14;0,57;0,19;1,21;34,2;;4,1;31,4;884,1;98,7;76;0,0075;;6,2;7,1;63;47;23;194;440;0,225;0,5;0,95;0,4;4,8;111,64;46;105,6;77;117,5;11;383,1;138,6;0;0,88;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1647;72,0126;Saint-Louis de Blandford ;D06;2009;2020;Stevens;P;12479,88273;;;1;0,12;0,49;0,23;1,17;33,7;;3,3;24,2;835,6;135,9;87;0,0075;;4,9;6,4;118;43;17;127;1059;0,7;0,3;1,78;0,6;1,5;183,24;55;38,4;28;82,5;4;203,1;50,4;0;0,32;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1649;72,0128;Saint-Louis de Blandford ;D07;2009;2020;Stevens;P;14705,68828;;;1;0,11;0,5;0,21;1,06;31,2;;2,7;20,1;698,6;136;72;0,01;;;;;;;;;;;;;;;;38,4;28;82,5;4;203,1;50,4;0;0,32;1,25;0;0;0;0
Nature Canneberge;Biologique;46,165;72,013;Saint-Louis de Blandford ;D08;2009;2020;Stevens;P;17138,81976;;;1,1;0,13;0,54;0,26;1,24;40,9;;3,7;27;1029,4;132,1;80;0,01;;4,7;6,3;90;40;11,25;75;1201;0,7;0,8;1,92;0,5;1,5;145,48;53;48;35;87,5;5;203,1;63;0;0,4;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1651;72,0134;Saint-Louis de Blandford ;D09;2009;2020;Pilgrim;P;11563,92247;;;1,1;0,14;0,51;0,25;1,24;38,9;;3,7;25,5;652,8;100,8;65;0,02;;;;;;;;;;;;;;;;52,8;38,5;90;5,5;203,1;69,3;0;0,44;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1648;72,011;Saint-Louis de Blandford ;D10;2018;2020;Haines;P;7910,1048;;;1,1;0,14;0,45;0,23;1,4;22,9;;3,8;30,9;738,1;192,9;154;0,01;;5,6;7,2;86;57;17;196;599;0,225;0,7;0,49;0,5;6,9;71,5;50;96;70;112,5;10;203,1;126;0;0,8;1,25;0;0;0;0
Nature Canneberge;Biologique;46,165;72,0108;Saint-Louis de Blandford ;D11;2010;2020;Stevens;P;14071,3092;;;1,1;0,13;0,52;0,23;1,09;33,2;;3,5;22,2;774,1;119,2;87;0,0075;;;;;;;;;;;;;;;;57,6;42;92,5;6;203,1;75,6;0;0,48;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1651;72,0106;Saint-Louis de Blandford ;D12;2010;2020;Stevens;P;15727,82808;;;1,1;0,14;0,53;0,24;1,15;36,4;;3,8;25,7;777;127,2;85;0,0075;;4,9;6,7;87;45;17;113;768;0,6;0,4;2,73;0,5;2,3;158,72;65;57,6;42;92,5;6;203,1;75,6;0;0,48;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1626;72,0131;Saint-Louis de Blandford ;E01;2011;2020;Stevens;P;22406,79854;;;1,1;0,12;0,51;0,25;1,33;38,3;;3,5;28,2;1074,5;147,9;96;0,0075;;;;;;;;;;;;;;;;57,0168;38,5;90;5,5;293,1;69,3;0;0,44;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1627;72,0132;Saint-Louis de Blandford ;E02;2011;2020;Stevens;P;22406,79854;;;1,2;0,13;0,52;0,24;1,25;34,6;;3,8;27,2;1009,2;121,5;73;0,01;;4,8;6,5;113;36;11,25;75;1235;0,5;0,5;2,1;0,5;1,5;117,85;50;57,0168;38,5;90;5,5;293,1;69,3;0;0,44;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1629;72,0134;Saint-Louis de Blandford ;E03;2011;2020;Stevens;P;22406,79854;;;1,1;0,12;0,51;0,23;1,16;33;;4;24,7;1042;126,8;75;0,01;;;;;;;;;;;;;;;;57,0168;38,5;90;5,5;293,1;69,3;0;0,44;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1632;72,0134;Saint-Louis de Blandford ;E04;2016;2020;Stevens;P;17850,74062;;;1,1;0,12;0,49;0,24;1,13;26,9;;3,6;23;900,9;106,4;85;0,0075;;5,1;7;95;41;11,25;75;804;0,225;0,3;0,55;0,6;1,5;96,06;53;57,0168;38,5;90;5,5;293,1;69,3;0;0,44;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1632;72,0136;Saint-Louis de Blandford ;E05;2016;2020;Stevens;P;17850,74062;;;1,1;0,12;0,5;0,24;1,13;28;;3,7;22,5;839,1;95,7;77;0,0075;;;;;;;;;;;;;;;;57,0168;38,5;90;5,5;293,1;69,3;0;0,44;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1634;72,0138;Saint-Louis de Blandford ;E06;2016;2020;Stevens;P;17850,74062;;;1,1;0,12;0,52;0,23;1,12;26,9;;4,1;23,2;849,3;107,5;84;0,0075;;5,1;6,9;88;33;11,25;75;941;0,225;0,3;0,71;0,7;1,5;81,89;50;57,0168;38,5;90;5,5;293,1;69,3;0;0,44;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1634;72,0141;Saint-Louis de Blandford ;E07;2016;2020;Stevens;P;16576,59914;;;1;0,11;0,54;0,23;1,07;28,4;;3,9;22,2;768,5;97,4;75;0,0075;;;;;;;;;;;;;;;;57,0168;38,5;90;5,5;293,1;69,3;0;0,44;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1635;72,0143;Saint-Louis de Blandford ;E08;2016;2020;Stevens;P;16576,59914;;;1;0,11;0,52;0,23;1,08;26,7;;3,8;22,1;719,2;93,7;71;0,0075;;5;6,9;72;33;11,25;75;829;0,3;0,3;0,69;0,6;1,5;96,1;57;57,0168;38,5;90;5,5;293,1;69,3;0;0,44;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1636;72,0145;Saint-Louis de Blandford ;E09;2016;2020;Stevens;P;16576,59914;;;1;0,12;0,5;0,24;1,11;27,4;;3,8;24,4;815,9;96,4;84;0,02;;;;;;;;;;;;;;;;57,0168;38,5;90;5,5;293,1;69,3;0;0,44;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1635;72,0151;Saint-Louis de Blandford ;E10;2016;2020;Haines;S;0;;;2;0,25;0,78;0,23;0,89;27,6;;6,8;35,1;265,3;83,8;75;0,03;;5,1;6,7;126;33;11,25;112;775;0,3;0,4;1,06;0,5;1,5;120,41;48;216;157,5;175;22,5;473,1;283,5;0;1,8;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1729;71,5957;Saint-Louis de Blandford ;F01;2013;2020;Stevens;P;17782,41237;;;1,1;0,14;0,54;0,22;1,22;34,8;;3,4;22,2;565,3;152,5;52;0,0075;;;;;;;;;;;;;;;;52,95;35;87,5;5;293,1;63;0;0,4;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1728;71,5959;Saint-Louis de Blandford ;F02;2013;2020;Stevens;P;17782,41237;;;1,1;0,14;0,55;0,23;1,13;35,4;;3,4;22,8;504,9;154,6;55;0,0075;;5,2;6,8;125;45;45;283;593;0,6;1,1;2,41;0,3;2,8;254,47;39;52,95;35;87,5;5;293,1;63;0;0,4;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1727;72,0001;Saint-Louis de Blandford ;F03;2013;2020;Crimon Queen;P;23638,23834;;;1,1;0,14;0,51;0,21;1,38;34,5;;3;22,3;476,1;133,8;64;0,01;;;;;;;;;;;;;;;;47,5668;28;82,5;4;293,1;50,4;0;0,32;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1726;72,0003;Saint-Louis de Blandford ;F04;2013;2020;Hyred;P;23638,23834;;;1,2;0,12;0,63;0,2;1,33;31,5;;3,8;25,6;698,6;133,9;81;0,0075;;5,1;6,7;205;54;34;278;588;0,6;1,1;1,88;0,3;1,5;237,26;41;52,2168;35;87,5;5;293,1;63;0;0,4;1,25;0;0;0;0
Nature Canneberge;Biologique;46,171;72,0011;Saint-Louis de Blandford ;F05;2015;2020;Sundance;P;15544,09734;;;1,3;0,14;0,54;0,25;1,92;35,9;;3,6;34,5;322,7;159;80;0,01;;;;;;;;;;;;;;;;61,8168;42;92,5;6;473,1;75,6;0;0,48;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1715;72,0007;Saint-Louis de Blandford ;F06;2015;2020;Mullica Queen;P;23663,29008;;;1,6;0,15;0,67;0,19;1,08;37,6;;3,8;25;395,9;118,1;64;0,0075;;5,4;6,7;92;38;21;193;542;0,4;0,9;1,74;0,4;1,5;125;51;177,0168;126;152,5;18;473,1;226,8;0;1,44;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1716;72,0009;Saint-Louis de Blandford ;F07;2015;2020;Mullica Queen;P;23663,29008;;;1;0,13;0,49;0,2;1,2;36;;2,9;23,1;264,3;145,3;66;0,01;;;;;;;;;;;;;;;;42,6168;28;82,5;4;473,1;50,4;0;0,32;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1716;72,0012;Saint-Louis de Blandford ;F08;2015;2020;Stevens;P;20218,64428;;;1;0,11;0,5;0,22;1,19;28,9;;3;26,4;334,3;122;60;0,01;;5,3;6,7;86;38;24;179;453;0,4;0,8;1,32;0,3;1,5;134,76;42;57,1668;35;87,5;5;473,1;63;0;0,4;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1718;72,0014;Saint-Louis de Blandford ;F09;2015;2020;Stevens;P;20218,64428;;;1,1;0,12;0,48;0,21;1,26;33,1;;3;29,2;283,9;114,5;50;0,02;;;;;;;;;;;;;;;;57,1668;35;87,5;5;473,1;63;0;0,4;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1719;72,0016;Saint-Louis de Blandford ;F10;2015;2020;Stevens;P;20218,64428;;;1,1;0,12;0,5;0,21;1,21;28,2;;3,2;29,9;270,7;113,6;71;0,0075;;5,3;6,8;86;34;29;168;393;0,3;1;1,32;0,2;1,5;122,46;37;57,1668;35;87,5;5;473,1;63;0;0,4;1,25;0;0;0;0
Atocas Notre-Dame;Biologique;46,18;71,5205;Notre-Dame-de-Lourdes;A01;1993;2020;Stevens;P;2901,538065;;;1;0,14;0,58;0,24;0,85;71,6;;4,7;23,3;563,7;114,5;64;0,02;;;;;;;;;;;;;;;;24;17,5;50;2,5;103,5;31,5;0;0,2;0;0,75;0;0;0
Atocas Notre-Dame;Biologique;46,1758;71,5204;Notre-Dame-de-Lourdes;A02;1993;2020;Stevens;P;8432,595;;;0,9;0,15;0,61;0,25;0,8;68,7;;4,4;21,3;459,7;135,2;58;0,02;;4,8;5,8;422;76;24;113;938;2;0,9;1,92;0,4;1,5;352,47;87;14,4;10,5;45;1,5;103,5;18,9;0;0,12;0;0,75;0;0;0
Atocas Notre-Dame;Biologique;46,1757;71,5205;Notre-Dame-de-Lourdes;A03;1993;2020;Stevens;P;3539,876439;;;0,9;0,13;0,6;0,24;0,74;75,2;;4;21,5;485,8;137,1;65;0,02;;;;;;;;;;;;;;;;14,4;10,5;45;1,5;103,5;18,9;0;0,12;0;0,75;0;0;0
Atocas Notre-Dame;Biologique;46,1755;71,5204;Notre-Dame-de-Lourdes;A04;1993;2020;Stevens;P;3539,876439;;;1;0,14;0,61;0,23;0,83;70,3;;4,7;22,9;547,3;176,7;71;0,02;;;;;;;;;;;;;;;;14,4;10,5;45;1,5;103,5;18,9;0;0,12;0;0,75;0;0;0
Atocas Notre-Dame;Biologique;46,1804;71,515;Notre-Dame-de-Lourdes;B01;1994;2020;Stevens;P;10035,76873;;;1,1;0,14;0,56;0,27;1,02;95,3;;5,4;27,9;726,2;78,7;67;0,01;;;;;;;;;;;;;;;;14,4;10,5;70;1,5;112,5;18,9;0;0,12;0;0,75;0;0;0
Atocas Notre-Dame;Biologique;46,1802;71,515;Notre-Dame-de-Lourdes;B02;1995;2020;Ben larocque;P;4840,205822;;;1;0,12;0,6;0,22;0,9;99,4;;4,7;20,6;768,3;70,9;68;0,01;;4,6;6,2;343;88;19;107;1166;2,2;0,8;2,34;0,5;2,1;359,95;72;33,6;24,5;80;3,5;112,5;44,1;0;0,28;0;0,75;0;0;0
Atocas Notre-Dame;Biologique;46,18;71,515;Notre-Dame-de-Lourdes;B03;1994;2020;Stevens;P;13296,64634;;;1;0,14;0,59;0,27;0,88;122,8;;4,9;24,8;850,5;148,3;96;0,03;;;;;;;;;;;;;;;;14,4;10,5;70;1,5;112,5;18,9;0;0,12;0;0,75;0;0;0
Atocas Notre-Dame;Biologique;46,1759;71,515;Notre-Dame-de-Lourdes;B04;2010;2020;Crimon Queen;P;32992,18935;;;1;0,14;0,71;0,23;1,07;72,6;;4,1;20;629;157,7;130;0,02;;5,1;6,1;119;60;21;101;1082;0,9;0,5;3,99;0,5;1,5;326,23;69;48,15;31,5;85;4,5;112,5;56,7;0;0,36;0;0,75;0;0;0
Atocas Notre-Dame;Biologique;46,1757;71,515;Notre-Dame-de-Lourdes;B05;1994;2020;Stevens;P;12634,80462;;;1;0,13;0,54;0,26;1,02;93;;5,6;27,1;705,5;104,2;75;0,02;;;;;;;;;;;;;;;;9,6;7;67,5;1;112,5;12,6;0;0,08;0;0,75;0;0;0
Atocas Notre-Dame;Biologique;46,1755;71,515;Notre-Dame-de-Lourdes;B06;1994;2020;Stevens;P;16874,12757;;;0,9;0,11;0,54;0,23;0,99;106,2;;4,6;25,9;537,3;201,5;115;0,02;;;;;;;;;;;;;;;;33,6;24,5;80;3,5;112,5;44,1;0;0,28;0;0,75;0;0;0
Atocas Notre-Dame;Biologique;46,1807;71,5136;Notre-Dame-de-Lourdes;B07;2017;2020;Scarlet Knight;P;30386,607;;;1,2;0,14;0,88;0,28;0,98;90,8;;4,5;22,8;628,1;130,3;83;0,0075;;;;;;;;;;;;;;;;62,55;42;117,5;6;211,5;75,6;0;0,48;0;0,75;0;0;0
Atocas Notre-Dame;Biologique;46,1805;71,5136;Notre-Dame-de-Lourdes;B08;2017;2020;Scarlet Knight;P;24812,27433;;;1,2;0,15;0,76;0,28;1;104,3;;4,5;26,2;735,8;98,6;80;0,0075;;5,2;6,7;66;18;11,25;75;963;0,4;0,4;1,28;0,4;1,5;127,79;28;62,55;42;117,5;6;211,5;75,6;0;0,48;0;0,75;0;0;0
Atocas Notre-Dame;Biologique;46,1804;71,5136;Notre-Dame-de-Lourdes;B09;2017;2020;Scarlet Knight;P;21938,478;;;1;0,12;0,56;0,27;1,12;114,9;;4,6;27,9;390,2;173,4;178;0,0075;;5,1;6,9;68;27;11,25;75;784;0,3;0,3;0,66;0,4;1,5;130,78;27;62,55;42;117,5;6;211,5;75,6;0;0,48;0;0,75;0;0;0
Atocas Notre-Dame;Biologique;46,1802;71,5136;Notre-Dame-de-Lourdes;B10;2017;2020;Scarlet Knight;P;22040,62567;;;1,1;0,12;0,52;0,26;1,12;74,5;;4,6;27,3;359;113,2;122;0,0075;;;;;;;;;;;;;;;;62,55;42;117,5;6;211,5;75,6;0;0,48;0;0,75;0;0;0
Atocas Notre-Dame;Biologique;46,18;71,5136;Notre-Dame-de-Lourdes;B11;2017;2020;Hyred;P;24623,711;;;1,2;0,14;0,62;0,25;1,4;59,1;;5;29,5;540,4;176,1;174;0,0075;;5,2;6,4;78;25;11,25;75;1144;0,6;0,5;0,84;0,5;1,5;116,06;50;67,47;42;92,5;6;292,5;75,6;0;0,48;0;0,75;0;0;0
Atocas Notre-Dame;Biologique;46,1759;71,5136;Notre-Dame-de-Lourdes;B12;2017;2020;Hyred;P;22679,13267;;;1,1;0,12;0,66;0,23;1,33;67,2;;4,4;25,6;431;157,6;153;0,0075;;5;6,1;84;24;11,25;75;1445;0,8;0,5;2,67;0,5;1,5;144,69;56;62,55;42;92,5;6;292,5;75,6;0;0,48;0;0,75;0;0;0
Atocas Notre-Dame;Biologique;46,1757;71,5136;Notre-Dame-de-Lourdes;B13;2017;2020;Hyred;P;27263,23233;;;1,2;0,14;0,67;0,23;1,38;71;;5,2;31,4;502,7;106;127;0,0075;;5,1;6;71;24;11,25;75;1533;1,2;0,3;0,94;0,5;1,5;106,87;55;62,55;42;92,5;6;292,5;75,6;0;0,48;0;0,75;0;0;0
Atocas Notre-Dame;Biologique;46,1755;71,5136;Notre-Dame-de-Lourdes;B14;2017;2020;Hyred;P;26489,05033;;;1,2;0,14;0,66;0,22;1,41;79,5;;5,1;29,3;551,1;121,4;115;0,0075;;5,2;6,8;77;24;11,25;75;1425;0,8;0,4;0,95;0,6;2,7;154,16;59;67,47;42;92,5;6;292,5;75,6;0;0,48;0;0,75;0;0;0
Atocas Notre-Dame;Biologique;46,1803;71,5159;Notre-Dame-de-Lourdes;C01;2012;2020;Mullica Queen;P;17830,08;;;1,1;0,13;0,68;0,23;0,87;85,4;;4;22,1;331,1;133,6;107;0,03;;;;;;;;;;;;;;;;52,8;38,5;90;5,5;202,5;69,3;0;0,44;0;0,75;0;0;0
Atocas Notre-Dame;Biologique;46,1803;71,5202;Notre-Dame-de-Lourdes;C02;2012;2020;Mullica Queen;P;17830,08;;;1,1;0,15;0,83;0,25;0,82;67,2;;4,3;19,7;334,9;209,2;169;0,03;;4,8;5,8;90;35;11,25;143;1471;1,3;0,6;2,7;0,4;1,5;282,86;61;52,8;38,5;90;5,5;202,5;69,3;0;0,44;0;0,75;0;0;0
