ID;Block_no;Treatment_no;Farm;Research_Organization;Production_type;Champs;Region;Municipality;Annee;Lat;Long;Variete;Cultivar_purity_perc;Year_of_stand_establishment;Nutrient_tested;Regie;Fertilizer_formula;Fertilizer_21-0-0;Fertilizer_8-0-0;Fertilizer_6-1-1;Fertilizer_24-5-11;Fertilizer_14-14-14;Fertilizer_13-13-13;Fertilizer_11-52-0;Fertilizer_11-38-0;Fertilizer_10-10-20;Fertilizer_5-10-30;Fertilizer_4,9-2,7-3,5;Fertilizer_2-6-42;Fertilizer_0-46-0;Fertilizer_0-13-0;Fertilizer_0-0-62;Fertilizer_0-0-56;Fertilizer_0-0-50;Fertilizer_0-0-22-11;Fertilizer_0-0-0-21;Fertilizer_0-0-0-25;Fertilizer_0-0-0-90;Fertilizer-name_N;Fertilizer-name_P;Fertilizer-name_K;Fertilizer-name_Mg;Fertilizer-name_Ca;Fertilizer-name_Cu;Fertilizer-name_B;S_Fert;N_Fert;P_Fert;K_Fert;Mg_Fert;Cu_Fert;B_Fert;Zn_Fert;S_elementaire_Fert;S_SCU_Fert;S_Fert;Ca_Fert;Fertilizer_date_application1_S;Fertilizer_date_application2_S;Fertilizer_date_application3_S;Fertilizer_date_application4_Elements_mineurs_S;Fertilizer_date_application1_N;Fertilizer_date_application2_N;Fertilizer_date_application1_NPK;Fertilizer_date_application2_NPK;Fertilizer_date_application3_NPK;Fertilizer_date_application4_NPK;Fertilizer_date_application5_NPK;Fertilizer_date_application6_NPK;Fertilizer_date_application7_NPK;Fertilizer_date_application8_NPK;Fertilizer_date_application1_K;Fertilizer_date_application2_K;Fertilizer_date_application3_K;Fertilizer_date_application4_K;Method_CSN_drying_T_celcius_leaf_fruit;Method_CSN_leaf_fruit;Method_extraction_leaf_fruit;Method_quantification_leaf_fruit;Method_CSN.drying_T_celcius_soil;Method_CNS_grinding_0.02mm;Method_C_soil;Method_N_soil;Method_quantification_Nutrients_Mehlich3_soil;Methode_quantification_Oxalate_soil;Leaf_Date_collection_stage1;Leaf_C_stage1_g_kg;Leaf_S_stage1_g_kg;Leaf_N_stage1_g_kg;Leaf_P_stage1_g_kg;Leaf_K_stage1_g_kg;Leaf_Ca_stage1_g_kg;Leaf1_Mg_stage_g_kg;Leaf_B_stage1_g_kg;Leaf_Cu_stage1_g_kg;Leaf_Zn_stage1_g_kg;Leaf_Mn_stage1_g_kg;Leaf_Fe_stage1_g_kg;Leaf_Al_stage1_g_kg;Leaf_Si_stage1_g_kg;Leaf_date_harvest_stage2;Leaf_C_CNS_stage2_g_kg;Leaf_S_CNS_stage2_g_kg;Leaf_S_stage2_g_kg_ICP;Leaf_N_stage2_g_kg;Leaf_P_stage2_g_kg;Leaf_K_stage2_g_kg;Leaf_Mg_stage2_g_kg;Leaf_Ca_stage2_g_kg;Leaf_B_stage2_g_kg;Leaf_Cu_stage2_g_kg;Leaf_Zn_stage2_g_kg;Leaf_Mn_stage2_g_kg;Leaf_Fe_stage2_g_kg;Leaf_Al_stage2_g_kg;Leaf_Na_stage2_g_kg;Leaf_Si_stage2_g_kg;Flower_date_harvest;Flower_Nb_upright_collection;Flower_Nb_Flower_collection;Fruit_date_harvest;Fruit_C_g_kg;Fruit_S_g_kg;Fruit_S_g_kg_ICP;Fruit_N_g_kg;Fruit_P_g_kg;Fruit_K_g_kg;Fruit_Ca_g_kg;Fruit_Mg_g_kg;Fruit_B_g_kg;Fruit_Cu_g_kg;Fruit_Zn_g_kg;Fruit_Mn_g_kg;Fruit_Fe_g_kg;Fruit_Al_g_kg;Fruit_Si_g_kg;Fruit_Tacy_labo_mg_Anth_100g;Fruit_Tacy_image_mg_Anth_100g_515nm;Fruit_Brix_degreeBrix;Fruit_Firmness_N_mm;Fruit_weight_g;Fruit_yield_Mg_ha;Yield class;Fruit_moisture_berry_perc;Date_harvest_Fruit_upright;Fruiting_upright_Nb_m2;Nb_Fruit_m2;Soil_sampling_date;Soil_pH_CaCl2_spring;Soil_pH_water_spring;PH_buffer_spring;Soil_organic_carbon_method;Soil_organic_carbon_OM_mg_kg;Soil_organic_carbon_totC_mg_kg;Soil_S_spring_mg_kg;Soil_N_spring_mg_kg;Soil_Ca_Mehlich3_spring_mg_kg;Soil_Mg_Mehlich3_spring_mg_kg;Soil_K_Mehlich3_spring_mg_kg;Soil_B_Mehlich3_spring_mg_kg;Soil_Cu_Mehlich3_spring_mg_kg;Soil_Zn_Mehlich3_spring_mg_kg;Soil_Fe_Mehlich3_spring_mg_kg;Soil_Mn_Mehlich3_spring_mg_kg;Soil_Al_Mehlich3_spring_mg_kg;Soil_P_Mehlich3_spring_mg_kg;Soil_S_Mehlich3_spring_mg_kg;Soil_Si_Mehlich3_spring_mg_kg;Soil_Na_Mehlich3_spring_mg_kg;Soil_Ca_OX_spring_mg_kg;Soil_Mg_OX_spring_mg_kg;Soil_Fe_OX_spring_mg_kg;Soil_Mn_OX_spring_mg_kg;Soil_Al_OX_spring_mg_kg;Soil_P_OX_spring_mg_kg;Soil_Si_OX_spring_mg_kg;Soil_P_OX_spring_mmol_kg;Soil_Fe_OX_spring_mmol_kg;Soil_Al_OX_spring_mmol_kg;Soil_Date_harvest_autumn;Soil_pH_CaCl2_autumn;Soil_pH_buffer_autumn;Soil_C_autumn_perc;Soil_S_autumn_perc;Soil_N_autumn_perc;Soil_Ca_Mehlich3_autumn_mg_kg;Soil_Mg_Mehlich3_autumn_mg_kg;Soil_K_Mehlich3_autumn_mg_kg;Soil_B_Mehlich3_autumn_mg_kg;Soil_Cu_Mehlich3_autumn_mg_kg;Soil_Zn_Mehlich3_autumn_mg_kg;Soil_Fe_Mehlich3_autumn_mg_kg;Soil_Mn_Mehlich3_autumn_mg_kg;Soil_Al_Mehlich3_autumn_mg_kg;Soil_P_Mehlich3_autumn_mg_kg;Soil_S_Mehlich3_autumn_mg_kg;Soil_Na_Mehlich3_autumn_mg_kg;Soil_bulk density_0_10cm_g_cm3;Soil_bulk density_10_20cm_g_cm3;Soil_bulk density_20_30cm_g_cm3;Soil_texture;Soil_Sand_tot_perc;Soil_clay_tot_perc;Soil_sand_very coarse_1mm_perc;Soil_sand_coarse_0.5mm_perc;Soil_sand_medium_0.25mm_perc;Soil_sand_fine_0.1mm_perc;Soil_sand.very_fine_0.05mm_perc;Soil_series;Precipitations_total_May_mm;Precipitations_total_June_mm;Precipitations_total_July_mm;Precipitations_total_August_mm;Precipitations_total_September_mm;Precipitations_total_October_mm;Temperature_mean_air_May_celcius;Temperature_mean_air_June_celcius;Temperature_mean_air_July_celcius;Temperature_mean_air_August_celcius;Temperature_mean_air_September_celcius;Temperature_mean_air_October_celcius;NDVI;Comments
2014_121;1;P15;Les Atocas de lErable;Universite Laval;Conventional;45;Centre_du_Quebec;Notre_Dame_Lourdes;2014;46,278068;-71,870569;Stevens;;1999;P;Conv;0-46-0;P;A;A;A;A;A;A;A;A;A;A;A;P;A;A;A;P;P;P;P;A;Ammonium sulfate;Phosphate Trisodique Poudre;Potassium sulfate;Sul_Po_Mag;;Copper sulfate;Soilubor;;45;15;80;12;2;1;;0;0;31,0468;;;;;2014-06-16;;;2014-06-24;2014-07-01;2014-07-07;2014-07-15;;;;;;;;;65;Ancien CSN Leco;AcideNitrique_Perchlorique;ICP_Foresterie;105;A;Ancien CSN Leco;Ancien CSN Leco;ICP_Foresterie;ICP_Foresterie;12-06-2014;474,14;0,3753;6,0787;1,173;4,42;6,423;1,348;0,0282;0,003;0,015;0,122;0,148;0,081;;04-09-2014;522,54;2,738;;10,332;0,975;5,422;2,084;8,683;0,0674;0,005;0,006;0,175;0,193;0,077;;;2014-07-24;227;950;2014-09-25;457,31;0;;3,2775;0,54;6,405;0,497;0,424;;0,001342;0,007921;0,003878;0,006603;0;;54,89363;;;;1,49;65,38;High yield;87,77;2014-09-17;139;336;2014-06-12;4,41;;;Ct;;8581,9;0;191,1;48,23671493;5,194607167;24,53868199;;0,664392467;0,914974711;263,5353324;0,520308635;1269,860088;71,78370122;;;;30,85930648;13,85176725;2,373739685;1066,012489;2021,904884;86,78268738;355,020965;;;;;;;;;;;;;;;;;;;;;;0,93393427;1,63601975;1,595460697;Sable;94,24117408;2,679428991;1,848151848;5,474525475;25,31468531;49,98001998;10,98901099;Saint-Judes;48,2;105,6;86;133,4;56;105,2;11,4;17,2;19,9;17,8;13,2;8,8;;
2014_122;2;P15;Les Atocas de lErable;Universite Laval;Conventional;45;Centre_du_Quebec;Notre_Dame_Lourdes;2014;46,278068;-71,870569;Stevens;;1999;P;Conv;0-46-0;P;A;A;A;A;A;A;A;A;A;A;A;P;A;A;A;P;P;P;P;A;Ammonium sulfate;Phosphate Trisodique Poudre;Potassium sulfate;Sul_Po_Mag;;Copper sulfate;Soilubor;;45;15;80;12;2;1;;0;0;31,0468;;;;;2014-06-16;;;2014-06-24;2014-07-01;2014-07-07;2014-07-15;;;;;;;;;65;Ancien CSN Leco;AcideNitrique_Perchlorique;ICP_Foresterie;105;A;Ancien CSN Leco;Ancien CSN Leco;ICP_Foresterie;ICP_Foresterie;12-06-2014;457,34;0,2759;4,4578;0,948;4,491;4,703;1,067;0,0165;0,003;0,013;0,132;0,165;0,084;;04-09-2014;528,14;1,1421;;11,048;1,134;5,545;2,366;8,647;0,0586;0,005;0,007;0,178;0,117;0,066;;;2014-07-24;242;899;2014-09-25;462,3;0;;5,3271;0,724;6,64;0,579;0,48;;0,002553;0,039057;0,003748;0,016363;0;;56,39736;;;;1,56;58;High yield;87,77;2014-09-17;174;391;2014-06-12;4,24;;;Ct;;12812;320;304,3;52,1215713;6,087209937;28,97155028;;1,219940953;1,288356964;374,1739169;0,651370478;1176,437391;151,5680032;;;;36,23173167;19,04339998;2,861547675;1264,947832;1722,605067;199,9249046;295,178665;;;;;;;;;;;;;;;;;;;;;;0,93393427;1,63601975;1,595460697;Sable;94,33831204;2,487562189;2,029850746;8,537313433;31,07462687;45,10447761;7,154228856;Saint-Judes;48,2;105,6;86;133,4;56;105,2;11,4;17,2;19,9;17,8;13,2;8,8;;
2014_123;1;P30;Les Atocas de lErable;Universite Laval;Conventional;45;Centre_du_Quebec;Notre_Dame_Lourdes;2014;46,278068;-71,870569;Stevens;;1999;P;Conv;0-46-0;P;A;A;A;A;A;A;A;A;A;A;A;P;A;A;A;P;P;P;P;A;Ammonium sulfate;Phosphate Trisodique Poudre;Potassium sulfate;Sul_Po_Mag;;Copper sulfate;Soilubor;;45;30;80;12;2;1;;0;0;31,0468;;;;;2014-06-16;;;2014-06-24;2014-07-01;2014-07-07;2014-07-15;;;;;;;;;65;Ancien CSN Leco;AcideNitrique_Perchlorique;ICP_Foresterie;105;A;Ancien CSN Leco;Ancien CSN Leco;ICP_Foresterie;ICP_Foresterie;12-06-2014;446,41;0,3125;5,7024;1,115;4,649;5,794;1,274;0,0166;0,006;0,019;0,152;0,225;0,069;;04-09-2014;523,97;0,9078;;10,856;1,115;5,301;2,219;9,19;0,0648;0,005;0,007;0,225;0,133;0,073;;;2014-07-24;133;601;2014-09-25;461,54;0,0845;;5,1757;0,635;6,667;0,506;0,443;;0,002598;0,051266;0,004013;0,00609;0;;32,0419;;;;1,56;71,42;High yield;87,77;2014-09-17;158;367;2014-06-12;4,35;;;Ct;;10793;0;48,4;64,26556186;6,12504802;27,56758632;;0,778616587;0,991169453;276,8080548;0,57362988;1131,0815;81,32935279;;;;27,36053954;12,52449683;3,006105646;1118,32253;1726,425093;68,45523352;251,8157408;;;;;;;;;;;;;;;;;;;;;;0,93393427;1,63601975;1,595460697;Sable;94,24117408;2,679428991;1,848151848;5,474525475;25,31468531;49,98001998;10,98901099;Saint-Judes;48,2;105,6;86;133,4;56;105,2;11,4;17,2;19,9;17,8;13,2;8,8;;
2014_124;2;P30;Les Atocas de lErable;Universite Laval;Conventional;45;Centre_du_Quebec;Notre_Dame_Lourdes;2014;46,278068;-71,870569;Stevens;;1999;P;Conv;0-46-0;P;A;A;A;A;A;A;A;A;A;A;A;P;A;A;A;P;P;P;P;A;Ammonium sulfate;Phosphate Trisodique Poudre;Potassium sulfate;Sul_Po_Mag;;Copper sulfate;Soilubor;;45;30;80;12;2;1;;0;0;31,0468;;;;;2014-06-16;;;2014-06-24;2014-07-01;2014-07-07;2014-07-15;;;;;;;;;65;Ancien CSN Leco;AcideNitrique_Perchlorique;ICP_Foresterie;105;A;Ancien CSN Leco;Ancien CSN Leco;ICP_Foresterie;ICP_Foresterie;12-06-2014;432,74;0,2671;4,5007;0,884;4,548;5,178;1,077;0,0188;0,004;0,022;0,195;0,319;0,17;;04-09-2014;524,37;1,0144;;12,028;1,082;5,531;2,136;8,02;0,0611;0,003;0,002;0,183;0,163;0,091;;;2014-07-24;138;601;2014-09-25;459,22;0,065;;4,4699;0,764;6,759;0,605;0,489;;0,002886;0,053374;0,006487;0,040958;0;;37,65693;;;;1,47;55,64;High yield;87,77;2014-09-17;202;453;2014-06-12;4,09;;;Ct;;8880;386;352,4;79,38677852;6,303768073;25,93799303;;1,624878692;1,141627778;323,4711936;0,660967634;890,9456765;127,4197243;;;;30,78525276;20,34402957;3,313080627;1473,775293;1286,508605;169,5192394;210,5440265;;;;;;;;;;;;;;;;;;;;;;0,93393427;1,63601975;1,595460697;Sable;94,33831204;2,487562189;2,029850746;8,537313433;31,07462687;45,10447761;7,154228856;Saint-Judes;48,2;105,6;86;133,4;56;105,2;11,4;17,2;19,9;17,8;13,2;8,8;;
2014_125;1;K0;Les Atocas de lErable;Universite Laval;Conventional;45;Centre_du_Quebec;Notre_Dame_Lourdes;2014;46,278068;-71,870569;Stevens;;1999;K;Conv;;P;A;A;A;A;A;A;A;A;A;A;A;P;A;A;A;A;A;P;P;A;Ammonium sulfate;Phosphate Trisodique Poudre;;Epsom salt;;Copper sulfate;Soilubor;;45;15;0;12;2;1;;0;0;16,3268;;;;;2014-06-16;;;2014-06-24;2014-07-01;2014-07-07;2014-07-15;;;;;;;;;65;Ancien CSN Leco;AcideNitrique_Perchlorique;ICP_Foresterie;105;A;Ancien CSN Leco;Ancien CSN Leco;ICP_Foresterie;ICP_Foresterie;12-06-2014;495,81;0,4045;6,3146;1,013;4,22;6,257;1,23;0,0199;0,003;0,019;0,156;0,136;0,069;;04-09-2014;522,73;0,7429;;10,801;0,977;4,393;2,29;9,17;0,0681;0,003;0,006;0,208;0,127;0,067;;;2014-07-24;177;726;2014-09-25;456,05;0;;2,6348;0,625;5,816;0,52;0,429;;0,002227;0,044117;0,001431;0,003176;0;;67,6236;;;;1,44;61,82;High yield;87,77;2014-09-17;132;280;2014-06-12;4,28;;;Ct;;13524;158;361;69,23180547;6,676632701;25,61408372;;1,090821276;1,126239642;358,2706936;0,502802784;1184,361739;124,4687612;;;;29,73641856;21,43864905;4,082729005;1407,23244;1969,176055;206,2599495;323,5127476;;;;;;;;;;;;;;;;;;;;;;0,93393427;1,63601975;1,595460697;Sable;94,24117408;2,679428991;1,848151848;5,474525475;25,31468531;49,98001998;10,98901099;Saint-Judes;48,2;105,6;86;133,4;56;105,2;11,4;17,2;19,9;17,8;13,2;8,8;;
2014_126;2;K0;Les Atocas de lErable;Universite Laval;Conventional;45;Centre_du_Quebec;Notre_Dame_Lourdes;2014;46,278068;-71,870569;Stevens;;1999;K;Conv;;P;A;A;A;A;A;A;A;A;A;A;A;P;A;A;A;A;A;P;P;A;Ammonium sulfate;Phosphate Trisodique Poudre;;Epsom salt;;Copper sulfate;Soilubor;;45;15;0;12;2;1;;0;0;16,3268;;;;;2014-06-16;;;2014-06-24;2014-07-01;2014-07-07;2014-07-15;;;;;;;;;65;Ancien CSN Leco;AcideNitrique_Perchlorique;ICP_Foresterie;105;A;Ancien CSN Leco;Ancien CSN Leco;ICP_Foresterie;ICP_Foresterie;12-06-2014;458,84;0,2663;4,391;0,859;4,079;4,953;1,04;0,0138;0,003;0,015;0,146;0,246;0,12;;04-09-2014;522,97;0,648;;11,195;1,045;4,464;2,244;9,17;0,0545;0,004;0,005;0,18;0,106;0,049;;;2014-07-24;190;673;2014-09-25;462,71;0;;4,6262;0,845;5,641;0,676;0,499;;0,002265;0,032735;0,003158;0,024177;0;;13,46034;;;;1,48;54,39;High yield;87,77;2014-09-17;131;280;2014-06-12;4,23;;;Ct;;16036;272;506,9;156,7312158;20,30465609;41,36059769;;0,398114625;0,718358728;256,8997281;1,435589082;1646,088278;76,43398239;;;;39,91492428;34,64167101;6,346803117;1446,670379;3397,808397;152,8205146;703,3205266;;;;;;;;;;;;;;;;;;;;;;0,93393427;1,63601975;1,595460697;Sable;94,33831204;2,487562189;2,029850746;8,537313433;31,07462687;45,10447761;7,154228856;Saint-Judes;48,2;105,6;86;133,4;56;105,2;11,4;17,2;19,9;17,8;13,2;8,8;;
2014_127;1;K40;Les Atocas de lErable;Universite Laval;Conventional;45;Centre_du_Quebec;Notre_Dame_Lourdes;2014;46,278068;-71,870569;Stevens;;1999;K;Conv;"0-0-50; 0-0-22-11";P;A;A;A;A;A;A;A;A;A;A;A;P;A;A;A;P;P;P;P;A;Ammonium sulfate;Phosphate Trisodique Poudre;Potassium sulfate;Sul_Po_Mag;;Copper sulfate;Soilubor;;45;15;40;12;2;1;;0;0;23,6868;;;;;2014-06-16;;;2014-06-24;2014-07-01;2014-07-07;2014-07-15;;;;;;;;;65;Ancien CSN Leco;AcideNitrique_Perchlorique;ICP_Foresterie;105;A;Ancien CSN Leco;Ancien CSN Leco;ICP_Foresterie;ICP_Foresterie;12-06-2014;467;0,3788;5,963;1,002;4,293;6,099;1,21;0,0172;0,004;0,018;0,111;0,183;0,098;;04-09-2014;522,34;0,6097;;9,6906;0,97;4,72;2,07;8,391;0,0637;0,003;0,005;0,154;0,112;0,052;;;2014-07-24;220;847;2014-09-25;454,21;0;;2,4315;0,75;6,019;0,539;0,479;;0,002372;0,03741;0,002097;0,006704;0;;24,93785;;;;1,49;64,26;High yield;87,77;2014-09-17;114;268;2014-06-12;4,16;;;Ct;;14257;987;713,9;54,59256618;5,176412461;28,96114453;;0,879726326;1,390812779;291,0272761;0,592416093;1237,520413;92,72086658;;;;37,26887701;22,55763156;6,76338593;2192,618862;2194,421879;162,7388106;275,6175668;;;;;;;;;;;;;;;;;;;;;;0,93393427;1,63601975;1,595460697;Sable;94,24117408;2,679428991;1,848151848;5,474525475;25,31468531;49,98001998;10,98901099;Saint-Judes;48,2;105,6;86;133,4;56;105,2;11,4;17,2;19,9;17,8;13,2;8,8;;
2014_128;2;K40;Les Atocas de lErable;Universite Laval;Conventional;45;Centre_du_Quebec;Notre_Dame_Lourdes;2014;46,278068;-71,870569;Stevens;;1999;K;Conv;"0-0-50; 0-0-22-11";P;A;A;A;A;A;A;A;A;A;A;A;P;A;A;A;P;P;P;P;A;Ammonium sulfate;Phosphate Trisodique Poudre;Potassium sulfate;Sul_Po_Mag;;Copper sulfate;Soilubor;;45;15;40;12;2;1;;0;0;23,6868;;;;;2014-06-16;;;2014-06-24;2014-07-01;2014-07-07;2014-07-15;;;;;;;;;65;Ancien CSN Leco;AcideNitrique_Perchlorique;ICP_Foresterie;105;A;Ancien CSN Leco;Ancien CSN Leco;ICP_Foresterie;ICP_Foresterie;12-06-2014;475,26;0,4516;4,2974;0,985;4,51;4,799;1,068;0,0108;0,004;0,013;0,139;0,187;0,096;;04-09-2014;521,63;0,7586;;9,4515;1;4,426;2,131;8,058;0,0397;0,003;0,009;0,15;0,112;0,058;;;2014-07-24;168;607;2014-09-25;456,09;0;;2,8484;0,711;7,155;0,484;0,469;;0,002532;0,0458;0,001364;0,001665;0;;29,46357;;;;1,45;40,34;High yield;87,77;2014-09-17;126;291;2014-06-12;4,64;;;Ct;;10357;828;552;62,14817612;5,257417131;28,88321401;;0,816778629;1,061263163;288,8834323;0,526643111;1093,022695;82,39891673;;;;31,62911039;15,32501119;2,985578109;1103,734851;1691,768776;89,64118742;276,9777485;;;;;;;;;;;;;;;;;;;;;;0,93393427;1,63601975;1,595460697;Sable;94,33831204;2,487562189;2,029850746;8,537313433;31,07462687;45,10447761;7,154228856;Saint-Judes;48,2;105,6;86;133,4;56;105,2;11,4;17,2;19,9;17,8;13,2;8,8;;
2014_129;1;K80;Les Atocas de lErable;Universite Laval;Conventional;45;Centre_du_Quebec;Notre_Dame_Lourdes;2014;46,278068;-71,870569;Stevens;;1999;K;Conv;"0-0-50; 0-0-22-11";P;A;A;A;A;A;A;A;A;A;A;A;P;A;A;A;P;P;P;P;A;Ammonium sulfate;Phosphate Trisodique Poudre;Potassium sulfate;Sul_Po_Mag;;Copper sulfate;Soilubor;;45;15;80;12;2;1;;0;0;31,0468;;;;;2014-06-16;;;2014-06-24;2014-07-01;2014-07-07;2014-07-15;;;;;;;;;65;Ancien CSN Leco;AcideNitrique_Perchlorique;ICP_Foresterie;105;A;Ancien CSN Leco;Ancien CSN Leco;ICP_Foresterie;ICP_Foresterie;12-06-2014;478;0,4313;5,1933;1,045;4,334;5,605;1,239;0,0123;0,004;0,016;0,127;0,162;0,1;;04-09-2014;516,62;0,9561;;9,5031;1,03;5,376;2,055;8,617;0,0603;0,003;0,013;0,172;0,123;0,086;;;2014-07-24;223;959;2014-09-25;455,15;0;;2,964;0,588;6,601;0,47;0,423;;0,002009;0,046578;0,001784;0,030198;0;;27,94472;;;;1,51;65,68;High yield;87,77;2014-09-17;125;260;2014-06-12;4,13;;;Ct;;10157;648;663,8;61,59053516;7,082251435;29,67465617;;1,159960469;0,898992726;305,5414181;0,617298278;941,7997669;92,84570758;;;;30,95983548;16,7714452;2,708734092;1549,861405;1326,8153;126,3438949;189,6421714;;;;;;;;;;;;;;;;;;;;;;0,93393427;1,63601975;1,595460697;Sable;94,24117408;2,679428991;1,848151848;5,474525475;25,31468531;49,98001998;10,98901099;Saint-Judes;48,2;105,6;86;133,4;56;105,2;11,4;17,2;19,9;17,8;13,2;8,8;;
2014_130;2;K80;Les Atocas de lErable;Universite Laval;Conventional;45;Centre_du_Quebec;Notre_Dame_Lourdes;2014;46,278068;-71,870569;Stevens;;1999;K;Conv;"0-0-50; 0-0-22-11";P;A;A;A;A;A;A;A;A;A;A;A;P;A;A;A;P;P;P;P;A;Ammonium sulfate;Phosphate Trisodique Poudre;Potassium sulfate;Sul_Po_Mag;;Copper sulfate;Soilubor;;45;15;80;12;2;1;;0;0;31,0468;;;;;2014-06-16;;;2014-06-24;2014-07-01;2014-07-07;2014-07-15;;;;;;;;;65;Ancien CSN Leco;AcideNitrique_Perchlorique;ICP_Foresterie;105;A;Ancien CSN Leco;Ancien CSN Leco;ICP_Foresterie;ICP_Foresterie;12-06-2014;464,65;0,299;5,5149;0,957;4,498;5,38;1,082;0,0115;0,003;0,013;0,121;0,121;0,049;;04-09-2014;524,77;1,069;;11,867;1,025;5,682;1,926;7,141;0,0509;0,002;0,004;0,196;0,09;0,045;;;2014-07-24;180;631;2014-09-25;407,54;0,2863;;4,7551;0,536;6,573;0,373;0,388;;0,001502;0,042477;0,002328;0,014151;0;;76,11407;;;;1,54;40,66;High yield;87,77;2014-09-17;166;363;2014-06-12;4,28;;;Ct;;13744;437;819,2;85,06066787;6,825598536;28,41004427;;1,152892529;0,791147315;249,4608247;0,639701932;1403,910105;93,13749025;;;;28,12097234;16,96975213;3,053173521;1072,880698;2204,933343;130,6117213;286,1988978;;;;;;;;;;;;;;;;;;;;;;0,93393427;1,63601975;1,595460697;Sable;94,33831204;2,487562189;2,029850746;8,537313433;31,07462687;45,10447761;7,154228856;Saint-Judes;48,2;105,6;86;133,4;56;105,2;11,4;17,2;19,9;17,8;13,2;8,8;;
2014_131;1;K120;Les Atocas de lErable;Universite Laval;Conventional;45;Centre_du_Quebec;Notre_Dame_Lourdes;2014;46,278068;-71,870569;Stevens;;1999;K;Conv;"0-0-50; 0-0-22-11";P;A;A;A;A;A;A;A;A;A;A;A;P;A;A;A;P;P;P;P;A;Ammonium sulfate;Phosphate Trisodique Poudre;Potassium sulfate;Sul_Po_Mag;;Copper sulfate;Soilubor;;45;15;120;12;2;1;;0;0;38,4068;;;;;2014-06-16;;;2014-06-24;2014-07-01;2014-07-07;2014-07-15;;;;;;;;;65;Ancien CSN Leco;AcideNitrique_Perchlorique;ICP_Foresterie;105;A;Ancien CSN Leco;Ancien CSN Leco;ICP_Foresterie;ICP_Foresterie;12-06-2014;476,3;0,367;5,5164;0,991;4,095;6,75;1,271;0,0112;0,003;0,017;0,145;0,164;0,065;;04-09-2014;528,14;0,9396;;11,815;1,08;5,83;2,1;8,447;0,0726;0,003;0,005;0,249;0,326;0,074;;;2014-07-24;169;686;2014-09-25;509,38;0,2019;;5,5179;0,684;6,843;0,545;0,485;;0,00316;0,050377;0,004726;0,01207;0;;38,88223;;;;1,54;56,98;High yield;87,77;2014-09-17;128;301;2014-06-12;4,1;;;Ct;;9491,1;616;518,4;77,75828002;6,536309507;27,48933815;;0,620776276;0,749366135;261,5172287;0,908469523;1166,819142;67,10442785;;;;29,89970771;16,48801676;4,591192656;1097,64753;1834,256715;110,3656158;316,3237976;;;;;;;;;;;;;;;;;;;;;;0,93393427;1,63601975;1,595460697;Sable;94,24117408;2,679428991;1,848151848;5,474525475;25,31468531;49,98001998;10,98901099;Saint-Judes;48,2;105,6;86;133,4;56;105,2;11,4;17,2;19,9;17,8;13,2;8,8;;
2014_132;2;K120;Les Atocas de lErable;Universite Laval;Conventional;45;Centre_du_Quebec;Notre_Dame_Lourdes;2014;46,278068;-71,870569;Stevens;;1999;K;Conv;"0-0-50; 0-0-22-11";P;A;A;A;A;A;A;A;A;A;A;A;P;A;A;A;P;P;P;P;A;Ammonium sulfate;Phosphate Trisodique Poudre;Potassium sulfate;Sul_Po_Mag;;Copper sulfate;Soilubor;;45;15;120;12;2;1;;0;0;38,4068;;;;;2014-06-16;;;2014-06-24;2014-07-01;2014-07-07;2014-07-15;;;;;;;;;65;Ancien CSN Leco;AcideNitrique_Perchlorique;ICP_Foresterie;105;A;Ancien CSN Leco;Ancien CSN Leco;ICP_Foresterie;ICP_Foresterie;12-06-2014;488,95;0,5262;6,825;0,978;4,62;5,157;0,974;0,01;0,004;0,019;0,177;0,209;0,154;;04-09-2014;527,8;0,8032;;10,997;1,055;6,124;1,978;8,231;0,0578;0,003;0,005;0,195;0,103;0,063;;;2014-07-24;153;617;2014-09-25;457,98;0;;5,3831;0,705;7,003;0,461;0,46;;0,002589;0,03872;0,001681;0,006414;0,011;;33,76558;;;;1,45;60,18;High yield;87,77;2014-09-17;175;389;2014-06-12;4,21;;;Ct;;14207;709;535,4;41,238799;4,186332186;29,70903947;;1,16495574;0,754369231;295,0418325;0,388038103;1446,342374;99,21790591;;;;31,80267116;16,72349537;3,44029473;1330,517184;2263,945518;139,1918792;280,4497453;;;;;;;;;;;;;;;;;;;;;;0,93393427;1,63601975;1,595460697;Sable;94,33831204;2,487562189;2,029850746;8,537313433;31,07462687;45,10447761;7,154228856;Saint-Judes;48,2;105,6;86;133,4;56;105,2;11,4;17,2;19,9;17,8;13,2;8,8;;
